Index,Symbol,Name,Market,Sector,FullName
279,CSCO,"Cisco Systems, Inc.",,Technology,"Cisco Systems, Inc."
280,AMZN,"Amazon.com, Inc.",,Consumer Cyclical,"Amazon.com, Inc."
281,PTPKF,PT PAKUWON JATI,N/A,Real Estate,PT Pakuwon Jati Tbk
282,HAL,Halliburton Company,,Energy,Halliburton Company
283,BBAR,Banco BBVA Argentina S.A.,N/A,Financial Services,Banco BBVA Argentina S.A.
284,ANSS,"ANSYS, Inc.",,Technology,"ANSYS, Inc."
285,ON,ON Semiconductor Corporation,,Technology,ON Semiconductor Corporation
286,GM,General Motors Company,,Consumer Cyclical,General Motors Company
287,ICHBF,INDUSTRIAS CH SAB DE CV,,Basic Materials,"Industrias CH, S. A. B. de C. V."
288,GOOGL,Alphabet Inc.,,Communication Services,Alphabet Inc.
289,NOV,NOV Inc.,,Energy,NOV Inc.
290,S,"SentinelOne, Inc.",,Technology,"SentinelOne, Inc."
291,VALE,VALE S.A.,,Basic Materials,Vale S.A.
292,OXY,Occidental Petroleum Corporatio,,Energy,Occidental Petroleum Corporation
293,CMCSA,Comcast Corporation,,Communication Services,Comcast Corporation
294,BTI,British American Tobacco  Indus,,Consumer Defensive,British American Tobacco p.l.c.
295,CELH,"Celsius Holdings, Inc.",,Consumer Defensive,"Celsius Holdings, Inc."
296,NFE,New Fortress Energy Inc.,,Utilities,New Fortress Energy Inc.
297,WBD,"Warner Bros. Discovery, Inc. - ",,Communication Services,"Warner Bros. Discovery, Inc."
298,FCX,"Freeport-McMoRan, Inc.",,Basic Materials,Freeport-McMoRan Inc.
299,DJT,Trump Media & Technology Group ,,Communication Services,Trump Media & Technology Group Corp.
300,COMP,"Compass, Inc.",,Real Estate,"Compass, Inc."
301,RMD,ResMed Inc.,N/A,Healthcare,ResMed Inc.
302,JBL,Jabil Inc.,,Technology,Jabil Inc.
303,BKR,Baker Hughes Company,,Energy,Baker Hughes Company
304,CVE,Cenovus Energy Inc,,Energy,Cenovus Energy Inc.
305,MSFT,Microsoft Corporation,,Technology,Microsoft Corporation
306,NYCB,"New York Community Bancorp, Inc",,Financial Services,"New York Community Bancorp, Inc."
307,MARA,"MARA Holdings, Inc.",,Financial Services,"MARA Holdings, Inc."
308,Dow Futures,,,,
309,META,"Meta Platforms, Inc.",,Communication Services,"Meta Platforms, Inc."
310,WDC,Western Digital Corporation,,Technology,Western Digital Corporation
311,BMY,Bristol-Myers Squibb Company,,Healthcare,Bristol-Myers Squibb Company
312,KMI,"Kinder Morgan, Inc.",,Energy,"Kinder Morgan, Inc."
313,UBER,"Uber Technologies, Inc.",,Technology,"Uber Technologies, Inc."
314,KAVL,Kaival Brands Innovations Group,,Consumer Defensive,"Kaival Brands Innovations Group, Inc."
315,MHK,"Mohawk Industries, Inc.",,Consumer Cyclical,"Mohawk Industries, Inc."
316,HBAN,Huntington Bancshares Incorpora,,Financial Services,Huntington Bancshares Incorporated
317,NIO,NIO Inc.,,Consumer Cyclical,NIO Inc.
318,TPR,"Tapestry, Inc.",,Consumer Cyclical,"Tapestry, Inc."
319,DOGE-USD,Dogecoin USD,,,Dogecoin USD
320,LBPH,"Longboard Pharmaceuticals, Inc.",N/A,Healthcare,"Longboard Pharmaceuticals, Inc."
321,AUR,"Aurora Innovation, Inc.",N/A,Technology,"Aurora Innovation, Inc."
322,DIS,Walt Disney Company (The),,Communication Services,The Walt Disney Company
323,Crude Oil,,,,
324,LYFT,"Lyft, Inc.",,Technology,"Lyft, Inc."
325,KHC,The Kraft Heinz Company,,Consumer Defensive,The Kraft Heinz Company
326,PLUG,"Plug Power, Inc.",N/A,Industrials,Plug Power Inc.
327,RIG,Transocean Ltd (Switzerland),,Energy,Transocean Ltd.
328,UAL,"United Airlines Holdings, Inc.",,Industrials,"United Airlines Holdings, Inc."
329,BCS,Barclays PLC,,Financial Services,Barclays PLC
330,VRSN,"VeriSign, Inc.",,Technology,"VeriSign, Inc."
331,MRVL,"Marvell Technology, Inc.",,Technology,"Marvell Technology, Inc."
332,LCID,"Lucid Group, Inc.",,Consumer Cyclical,"Lucid Group, Inc."
333,CDNS,"Cadence Design Systems, Inc.",,Technology,"Cadence Design Systems, Inc."
334,HR,Healthcare Realty Trust Incorpo,,Real Estate,Healthcare Realty Trust Incorporated
335,AMAT,"Applied Materials, Inc.",,Technology,"Applied Materials, Inc."
336,KB,KB Financial Group Inc,N/A,Financial Services,KB Financial Group Inc.
337,MDT,Medtronic plc.,,Healthcare,Medtronic plc
338,AMD,"Advanced Micro Devices, Inc.",,Technology,"Advanced Micro Devices, Inc."
339,ANET,"Arista Networks, Inc.",,Technology,"Arista Networks, Inc."
340,T,AT&T Inc.,,Communication Services,AT&T Inc.
341,NLY,Annaly Capital Management Inc.,,Real Estate,"Annaly Capital Management, Inc."
342,AGNC,AGNC Investment Corp.,,Real Estate,AGNC Investment Corp.
343,CORZ,"Core Scientific, Inc.",,Technology,"Core Scientific, Inc."
344,DAL,"Delta Air Lines, Inc.",,Industrials,"Delta Air Lines, Inc."
